"year","rep","scenario","GEI","stage","mean_gv_tpe","mean_gv_met","var_gv_tpe","var_gv_met","acc_tpe","acc_met","met_tpe"
1,1,"Pheno","Moderate","AYT",0.185634818188928,0.146243811965628,0.441384554613426,0.766825839671166,0.765555932372199,0.661330355152802,0.841549212861362
2,1,"Pheno","Moderate","AYT",0.334698717846984,0.322649530526111,0.303283568967749,0.399180544771303,0.796116278499326,0.6021687982139,0.849837751984273
3,1,"Pheno","Moderate","AYT",0.247961130241244,0.410995911666204,0.422613124965938,0.788578598922169,0.811932211237293,0.647820007793843,0.757152570616257
4,1,"Pheno","Moderate","AYT",0.462270843566998,0.379766500249861,0.396251075852011,0.322480673003259,0.724018912456148,0.658031982771176,0.933491406174871
5,1,"Pheno","Moderate","AYT",0.443475812903597,0.132183417289258,0.56049651308363,0.429162453217337,0.761626311017055,0.705094154940608,0.86610684497541
6,1,"Pheno","Moderate","AYT",0.10174904042577,0.125843689563109,0.417417261401749,0.615404693038849,0.755419992720755,0.727849632585335,0.875946471907091
7,1,"Pheno","Moderate","AYT",0.481968219572452,0.567188606642733,0.399932188909968,0.951803088670004,0.87671987010253,0.819009349988395,0.915145386221731
8,1,"Pheno","Moderate","AYT",0.578257922754785,0.759698137726307,0.309290460005076,1.08441855201564,0.842339047462939,0.592531812217079,0.747405064435748
9,1,"Pheno","Moderate","AYT",0.651814540923778,0.413253297401901,0.286912481858459,0.283214534483144,0.518420832157007,0.143510591545114,0.456450997534022
10,1,"Pheno","Moderate","AYT",0.489193445732596,0.671332953750185,0.341665652961013,0.456952782431492,0.786990955232714,0.696382767345174,0.949523197250839
11,1,"Pheno","Moderate","AYT",0.598718012905212,0.864800031086456,0.624664367618161,1.90798863044804,0.889198246930736,0.836427960619698,0.937530241060235
12,1,"Pheno","Moderate","AYT",0.524986080886986,0.528691831765169,0.655060796934877,0.463123551138428,0.714023446904998,0.739108242385077,0.952891365452546
13,1,"Pheno","Moderate","AYT",0.877382629263024,0.989512317175067,0.477630486741122,0.779336924302246,0.848644620150255,0.812503515947405,0.966118637088564
14,1,"Pheno","Moderate","AYT",0.753880150099169,0.568653524720543,0.355171248678036,0.228546880746812,0.651967812992516,0.187500465833639,0.486092139830981
15,1,"Pheno","Moderate","AYT",0.738433238238272,0.711155291345578,0.296553380921527,0.407112208637633,0.637045866564358,0.551453629557232,0.815590863736151
16,1,"Pheno","Moderate","AYT",0.857231322865214,0.97136095289651,0.395213856321702,0.348964430034362,0.726506215813464,0.626826351372634,0.908704794782072
17,1,"Pheno","Moderate","AYT",1.00808923533705,1.15680093468302,0.339121771803468,0.810065358051964,0.830808033413487,0.772909198473988,0.921646535097246
18,1,"Pheno","Moderate","AYT",1.00858157540008,0.837236411359806,0.417097937071043,0.339013822388785,0.618846869720954,0.503393196803308,0.892289542718954
19,1,"Pheno","Moderate","AYT",0.946528953907984,0.468231099260613,0.590774425394385,0.655126053073809,0.843692000176858,0.504375035864409,0.618444407270463
20,1,"Pheno","Moderate","AYT",0.946153300720966,1.1253265391175,0.653695039094111,1.13667206854706,0.853197142837373,0.804472700419076,0.943667280763337
1,1,"Pheno","Moderate","EYT",0.149138226951949,0.271854277953662,0.745927076604029,0.738722224094829,0.965309801185175,0.965097148227081,0.993747718974693
2,1,"Pheno","Moderate","EYT",0.505722752639769,0.516077278181728,0.275808871692699,0.281450370829997,0.93989305012456,0.90296020744084,0.947292406134086
3,1,"Pheno","Moderate","EYT",0.222181687699192,0.230370179124986,0.350132561685881,0.531041509268866,0.975548568053547,0.936061982303783,0.911903660795455
4,1,"Pheno","Moderate","EYT",-0.0365682925669838,-0.0122912538193137,0.430365372730676,0.3369951408435,0.952333727785943,0.909311823074918,0.980417000019624
5,1,"Pheno","Moderate","EYT",0.570564959794295,0.605679163828176,0.523755566675426,0.413278370070124,0.951983582801822,0.933887452551282,0.982575680796142
6,1,"Pheno","Moderate","EYT",0.259368375729307,0.34537898921158,0.972153390506953,1.02959016357654,0.968197822512325,0.958670427067366,0.992982509812298
7,1,"Pheno","Moderate","EYT",-0.133369063780147,-0.250634330705185,0.240261725072073,0.38635398589076,0.975173671032587,0.973105646067417,0.976432292941653
8,1,"Pheno","Moderate","EYT",0.52067019368583,0.648386614690908,0.273140426835341,0.292765244379187,0.954318604875505,0.872724820903886,0.868443296267409
9,1,"Pheno","Moderate","EYT",0.482907628400892,0.286408974076543,0.153015911283145,0.333972965982383,0.949263100311537,0.85558009046929,0.922488496036127
10,1,"Pheno","Moderate","EYT",0.554049677044474,0.449317036176817,0.289016794338444,0.210537271974315,0.835280105932905,0.739629412830383,0.958612537013146
11,1,"Pheno","Moderate","EYT",0.501388868735527,0.693450683170104,0.488088045034825,0.780080474783598,0.991164284634288,0.981615983172398,0.988899234720968
12,1,"Pheno","Moderate","EYT",1.07210692786421,0.869389326901376,0.28199391916795,0.120783248173109,0.955730409428209,0.889114868509076,0.944460538174162
13,1,"Pheno","Moderate","EYT",0.472352305536899,0.462262071960797,0.938042541877428,1.1011613818799,0.991627419666874,0.989627236495772,0.993542368460589
14,1,"Pheno","Moderate","EYT",0.807706281652421,0.571342634862595,0.66910496995673,0.434763649402126,0.967827949024621,0.922092238527303,0.948186664643497
15,1,"Pheno","Moderate","EYT",0.717327585886769,0.980718004630125,0.561425591459939,0.877494629586727,0.995814721569757,0.974648476267835,0.984201312184131
16,1,"Pheno","Moderate","EYT",0.600214439812109,0.585561199813438,0.140321209599155,0.123805622988699,0.909852459252742,0.718555913010594,0.926436330215346
17,1,"Pheno","Moderate","EYT",0.918832074666911,0.989892379404005,0.21316714913753,0.282577980772805,0.94478199788475,0.93698882263267,0.986415235379531
18,1,"Pheno","Moderate","EYT",1.19828406698885,1.4850856476292,0.44747436082554,0.651562175238983,0.960140869859709,0.922832895369104,0.984628437878391
19,1,"Pheno","Moderate","EYT",1.09894434188993,0.971277209738231,0.539620221851149,0.470079439071091,0.985854057590416,0.934365276703543,0.962988669425953
20,1,"Pheno","Moderate","EYT",0.912450730099275,1.02255263304726,0.459348776263771,0.583075091627508,0.964881906519551,0.955230333787115,0.9924492466852
